theme,n_posts,rate_heuristic_alarmist_or_false_claim,ci95_low,ci95_high
agi_risk,1056,0.002840909090909091,0.0009666081115270652,0.008319307821570861
ai_business,2370,0.0004219409282700422,7.448490189605381e-05,0.0023863364098544856
ai_creative,2672,0.0,0.0,0.0014356604665986205
ai_education,2607,0.0003835826620636747,6.771322622081298e-05,0.0021697262262530556
ai_research_tech,2063,0.0,0.0,0.0018586813812921125
ai_work_productivity,1874,0.0,0.0,0.002045752953816765
deepfakes,2528,0.0011867088607594937,0.00040366104263234864,0.0034834699690391552
health_ai,2225,0.0017977528089887641,0.0006993148512986977,0.004613579523967808
job_displacement,2016,0.001488095238095238,0.0005062037009117607,0.004366257585161364
policy_balanced,2575,0.0003883495145631068,6.85547513551482e-05,0.0021966483537909764
regulation_debate,1666,0.0012004801920768306,0.0003292698312903769,0.004366744449345583
sentience_hype,2042,0.04603330068560235,0.03776504720032307,0.05600643540126252
